size,tile,4-barrier ms,2-barrier ms,speedup
512x512x512,8,0.955,0.91,1.05
512x512x512,16,0.69,0.68,1.01
512x512x512,32,0.76,0.735,1.03
512x512x512,best (16 vs 16),0.69,0.68,1.01
1024x1024x1024,8,8.985,8.51,1.06
1024x1024x1024,16,5.869999999999999,7.705,0.76
1024x1024x1024,32,5.825,5.54,1.05
1024x1024x1024,best (32 vs 32),5.825,5.54,1.05
2048x2048x2048,8,90.67,86.35,1.05
2048x2048x2048,16,57.215,55.28,1.04
2048x2048x2048,32,50.565,48.385,1.05
2048x2048x2048,best (32 vs 32),50.565,48.385,1.05
4096x4096x4096,8,887.9649999999999,854.13,1.04
4096x4096x4096,16,562.81,543.525,1.04
4096x4096x4096,32,460.005,452.01,1.02
4096x4096x4096,best (32 vs 32),460.005,452.01,1.02
1000x3000x700,8,20.155,19.060000000000002,1.06
1000x3000x700,16,13.235,12.91,1.03
1000x3000x700,32,12.185,11.975000000000001,1.02
1000x3000x700,best (32 vs 32),12.185,11.975000000000001,1.02
