size,variant,tile,kernel_ms,e2e_ms,transfer_pct,spread
512x512x512,naive,8,1.88,3.365,44.5,1.0
512x512x512,tiled,8,0.91,2.365,61.5,1.0
512x512x512,tiled4,8,0.955,2.465,61.0,1.0105263157894737
512x512x512,naive,16,2.69,4.17,35.5,1.0
512x512x512,tiled,16,0.68,2.105,68.0,1.0
512x512x512,tiled4,16,0.69,2.135,68.0,1.0
512x512x512,naive,32,5.0600000000000005,6.55,23.0,1.007936507936508
512x512x512,tiled,32,0.735,2.175,66.0,1.0136986301369864
512x512x512,tiled4,32,0.76,2.185,65.5,1.0
1024x1024x1024,naive,8,17.13,21.85,22.0,1.3101820633850303
1024x1024x1024,tiled,8,8.51,13.219999999999999,35.5,1.2018111254851227
1024x1024x1024,tiled4,8,8.985,13.54,34.0,1.2076167076167075
1024x1024x1024,naive,16,46.095,51.08,10.0,1.3410360589131538
1024x1024x1024,tiled,16,7.705,12.4,39.0,1.7130281690140847
1024x1024x1024,tiled4,16,5.869999999999999,10.385,43.5,1.0206540447504304
1024x1024x1024,naive,32,37.629999999999995,42.545,12.0,1.0128376571275741
1024x1024x1024,tiled,32,5.54,10.190000000000001,45.5,1.0255941499085923
1024x1024x1024,tiled4,32,5.825,10.42,44.0,1.0260869565217392
2048x2048x2048,naive,8,154.285,174.615,11.5,1.214829170255527
2048x2048x2048,tiled,8,86.35,106.39,19.0,1.3196776359973137
2048x2048x2048,tiled4,8,90.67,109.965,17.5,1.302437785678009
2048x2048x2048,naive,16,189.675,208.405,9.0,1.1170266197890508
2048x2048x2048,tiled,16,55.28,74.4,26.0,1.2272360999194198
2048x2048x2048,tiled4,16,57.215,76.6,25.5,1.2279984423676014
2048x2048x2048,naive,32,301.905,320.765,6.0,1.0393474736557688
2048x2048x2048,tiled,32,48.385,67.12,28.0,1.1018679409209382
2048x2048x2048,tiled4,32,50.565,69.21000000000001,27.0,1.0929221854304636
4096x4096x4096,naive,8,1404.695,1479.01,5.5,1.2407538862789824
4096x4096x4096,tiled,8,854.13,927.685,8.0,1.3610078365789948
4096x4096x4096,tiled4,8,887.9649999999999,963.45,8.0,1.3676856826696173
4096x4096x4096,naive,16,1596.8249999999998,1670.67,4.5,1.0589714329922828
4096x4096x4096,tiled,16,543.525,618.275,12.5,1.1091794563340382
4096x4096x4096,tiled4,16,562.81,637.29,12.0,1.1221696423521428
4096x4096x4096,naive,32,2543.2200000000003,2618.085,3.0,1.0322835841171158
4096x4096x4096,tiled,32,452.01,526.675,14.0,1.0471003826906093
4096x4096x4096,tiled4,32,460.005,534.54,14.0,1.0469685170764267
1000x3000x700,naive,8,29.02,38.59,25.0,1.01457827143353
1000x3000x700,tiled,8,19.060000000000002,28.65,33.5,1.1307993292342091
1000x3000x700,tiled4,8,20.155,29.744999999999997,32.5,1.1204629142556548
1000x3000x700,naive,16,32.285,42.260000000000005,23.5,1.0635985937999362
1000x3000x700,tiled,16,12.91,22.465,42.5,1.0492063492063493
1000x3000x700,tiled4,16,13.235,22.740000000000002,42.0,1.044015444015444
1000x3000x700,naive,32,51.769999999999996,61.405,15.5,1.0309925460965086
1000x3000x700,tiled,32,11.975000000000001,21.595,44.5,1.0279424216765454
1000x3000x700,tiled4,32,12.185,21.745,44.0,1.0090684253915911
