sweep,size,variant,tile,kernel_ms,e2e_ms,transfer_pct
0,512x512x512,naive,8,1.88,3.39,45
0,512x512x512,tiled,8,0.91,2.38,62
0,512x512x512,tiled4,8,0.96,2.53,62
0,512x512x512,naive,16,2.69,4.19,36
0,512x512x512,tiled,16,0.68,2.11,68
0,512x512x512,tiled4,16,0.69,2.13,68
0,512x512x512,naive,32,5.04,6.51,23
0,512x512x512,tiled,32,0.73,2.18,66
0,512x512x512,tiled4,32,0.76,2.2,66
0,1024x1024x1024,naive,8,14.83,19.4,24
0,1024x1024x1024,tiled,8,7.73,12.34,37
0,1024x1024x1024,tiled4,8,8.14,12.68,36
0,1024x1024x1024,naive,16,52.81,57.75,9
0,1024x1024x1024,tiled,16,5.68,10.31,45
0,1024x1024x1024,tiled4,16,5.81,10.26,43
0,1024x1024x1024,naive,32,37.39,42.27,12
0,1024x1024x1024,tiled,32,5.47,10.15,46
0,1024x1024x1024,tiled4,32,5.75,10.36,44
0,2048x2048x2048,naive,8,139.32,160.64,13
0,2048x2048x2048,tiled,8,74.45,94.62,21
0,2048x2048x2048,tiled4,8,78.76,97.11,19
0,2048x2048x2048,naive,16,179.19,197.84,9
0,2048x2048x2048,tiled,16,49.64,68.98,28
0,2048x2048x2048,tiled4,16,51.36,71.68,28
0,2048x2048x2048,naive,32,296.08,314.87,6
0,2048x2048x2048,tiled,32,46.04,64.71,29
0,2048x2048x2048,tiled4,32,48.32,67.11,28
0,4096x4096x4096,naive,8,1253.77,1326.94,6
0,4096x4096x4096,tiled,8,723.53,796.9,9
0,4096x4096x4096,tiled4,8,750.07,823.57,9
0,4096x4096x4096,naive,16,1551.09,1625.24,5
0,4096x4096x4096,tiled,16,515.39,589.54,13
0,4096x4096x4096,tiled4,16,530.41,606.63,13
0,4096x4096x4096,naive,32,2502.82,2579.42,3
0,4096x4096x4096,tiled,32,441.61,516.0,14
0,4096x4096x4096,tiled4,32,449.45,522.01,14
0,1000x3000x700,naive,8,28.81,38.32,25
0,1000x3000x700,tiled,8,17.89,27.41,35
0,1000x3000x700,tiled4,8,19.01,28.63,34
0,1000x3000x700,naive,16,31.29,41.7,25
0,1000x3000x700,tiled,16,12.6,22.14,43
0,1000x3000x700,tiled4,16,12.95,22.52,43
0,1000x3000x700,naive,32,50.98,60.64,16
0,1000x3000x700,tiled,32,11.81,21.33,45
0,1000x3000x700,tiled4,32,12.13,21.62,44
1,512x512x512,naive,8,1.88,3.34,44
1,512x512x512,tiled,8,0.91,2.35,61
1,512x512x512,tiled4,8,0.95,2.4,60
1,512x512x512,naive,16,2.69,4.15,35
1,512x512x512,tiled,16,0.68,2.1,68
1,512x512x512,tiled4,16,0.69,2.14,68
1,512x512x512,naive,32,5.08,6.59,23
1,512x512x512,tiled,32,0.74,2.17,66
1,512x512x512,tiled4,32,0.76,2.17,65
1,1024x1024x1024,naive,8,19.43,24.3,20
1,1024x1024x1024,tiled,8,9.29,14.1,34
1,1024x1024x1024,tiled4,8,9.83,14.4,32
1,1024x1024x1024,naive,16,39.38,44.41,11
1,1024x1024x1024,tiled,16,9.73,14.49,33
1,1024x1024x1024,tiled4,16,5.93,10.51,44
1,1024x1024x1024,naive,32,37.87,42.82,12
1,1024x1024x1024,tiled,32,5.61,10.23,45
1,1024x1024x1024,tiled4,32,5.9,10.48,44
1,2048x2048x2048,naive,8,169.25,188.59,10
1,2048x2048x2048,tiled,8,98.25,118.16,17
1,2048x2048x2048,tiled4,8,102.58,122.82,16
1,2048x2048x2048,naive,16,200.16,218.97,9
1,2048x2048x2048,tiled,16,60.92,79.82,24
1,2048x2048x2048,tiled4,16,63.07,81.52,23
1,2048x2048x2048,naive,32,307.73,326.66,6
1,2048x2048x2048,tiled,32,50.73,69.53,27
1,2048x2048x2048,tiled4,32,52.81,71.31,26
1,4096x4096x4096,naive,8,1555.62,1631.08,5
1,4096x4096x4096,tiled,8,984.73,1058.47,7
1,4096x4096x4096,tiled4,8,1025.86,1103.33,7
1,4096x4096x4096,naive,16,1642.56,1716.1,4
1,4096x4096x4096,tiled,16,571.66,647.01,12
1,4096x4096x4096,tiled4,16,595.21,667.95,11
1,4096x4096x4096,naive,32,2583.62,2656.75,3
1,4096x4096x4096,tiled,32,462.41,537.35,14
1,4096x4096x4096,tiled4,32,470.56,547.07,14
1,1000x3000x700,naive,8,29.23,38.86,25
1,1000x3000x700,tiled,8,20.23,29.89,32
1,1000x3000x700,tiled4,8,21.3,30.86,31
1,1000x3000x700,naive,16,33.28,42.82,22
1,1000x3000x700,tiled,16,13.22,22.79,42
1,1000x3000x700,tiled4,16,13.52,22.96,41
1,1000x3000x700,naive,32,52.56,62.17,15
1,1000x3000x700,tiled,32,12.14,21.86,44
1,1000x3000x700,tiled4,32,12.24,21.87,44
